,datetime,open,high,low,close,volume,hold
0,2020-03-24 09:01:00,148.05,148.05,148.05,148.05,1,8
1,2020-03-24 09:03:00,148.05,148.05,148.05,148.05,1,8
2,2020-03-24 09:06:00,148.05,159.6,148.05,159.6,1,8
3,2020-03-24 09:07:00,159.6,159.6,148.3,148.3,1,8
4,2020-03-24 09:51:00,154.0,154.0,154.0,154.0,1,8
5,2020-03-24 09:54:00,154.0,154.0,154.0,154.0,1,8
6,2020-03-24 13:31:00,154.0,154.0,150.35,150.35,1,9
7,2020-03-24 13:32:00,150.35,150.35,150.3,150.3,1,10
8,2020-03-24 13:37:00,152.25,152.25,152.25,152.25,2,8
9,2020-03-24 14:41:00,152.25,152.25,152.25,152.25,1,8
10,2020-03-25 09:03:00,156.95,156.95,156.95,156.95,3,8
11,2020-03-25 09:04:00,157.0,159.0,157.0,159.0,2,10
12,2020-03-25 09:06:00,159.0,159.3,159.0,159.3,1,9
13,2020-03-25 09:28:00,159.3,159.3,159.3,159.3,2,10
14,2020-03-25 09:29:00,159.3,159.3,159.3,159.3,1,10
15,2020-03-25 11:30:00,159.3,159.3,159.3,159.3,1,10
16,2020-03-25 13:57:00,159.3,159.3,159.3,159.3,1,10
17,2020-03-25 13:58:00,159.3,159.3,159.3,159.3,1,10
18,2020-03-26 09:01:00,169.5,170.0,169.5,170.0,1,10
19,2020-03-26 09:06:00,170.0,170.0,170.0,170.0,1,10
20,2020-03-26 09:08:00,170.0,170.0,170.0,170.0,1,10
21,2020-03-26 09:10:00,170.0,170.0,170.0,170.0,2,10
22,2020-03-26 09:23:00,170.0,170.0,170.0,170.0,1,10
23,2020-03-26 10:36:00,170.0,170.0,170.0,170.0,1,10
24,2020-03-27 09:33:00,186.8,186.8,186.8,186.8,1,9
25,2020-03-27 09:39:00,186.85,186.85,186.8,186.8,7,7
26,2020-03-27 09:42:00,162.0,164.55,163.55,163.55,4,11
27,2020-03-27 09:43:00,163.55,163.55,163.55,163.55,4,15
28,2020-03-27 09:46:00,163.55,179.65,163.55,179.65,1,14
29,2020-03-27 09:47:00,179.65,179.65,164.05,176.4,2,14
30,2020-03-27 10:04:00,157.0,158.95,157.9,157.95,3,19
31,2020-03-27 10:05:00,157.95,159.95,157.95,158.95,11,17
32,2020-03-27 10:06:00,158.95,176.45,158.95,160.8,3,16
33,2020-03-27 10:09:00,173.75,176.45,173.75,176.45,5,17
34,2020-03-27 10:11:00,176.45,183.75,176.0,183.75,2,17
35,2020-03-27 10:31:00,173.65,173.65,173.65,173.65,2,18
36,2020-03-27 10:32:00,173.65,173.7,173.65,173.7,2,17
37,2020-03-27 10:41:00,173.7,173.7,173.7,173.7,3,18
38,2020-03-27 10:50:00,175.85,175.85,175.85,175.85,1,17
39,2020-03-27 11:02:00,170.7,170.7,170.7,170.7,1,17
40,2020-03-27 11:15:00,170.7,179.5,170.7,179.5,1,16
41,2020-03-27 13:44:00,181.95,181.95,181.95,181.95,1,16
42,2020-03-27 13:45:00,173.2,173.2,173.2,173.2,1,17
43,2020-03-27 13:46:00,173.2,173.2,173.2,173.2,4,21
44,2020-03-27 13:48:00,176.95,176.95,176.95,176.95,1,21
45,2020-03-27 14:02:00,177.0,177.0,177.0,177.0,1,20
46,2020-03-27 14:06:00,177.0,181.05,177.0,181.05,1,19
47,2020-03-27 14:07:00,181.05,182.95,181.05,182.95,3,18
48,2020-03-27 14:10:00,180.05,180.05,180.05,180.05,1,18
49,2020-03-27 14:14:00,180.05,183.05,180.05,183.05,1,18
50,2020-03-27 14:22:00,182.15,182.15,182.15,182.15,1,17
51,2020-03-27 14:39:00,186.8,186.8,186.8,186.8,5,12
52,2020-03-27 14:41:00,186.8,186.8,186.8,186.8,2,11
53,2020-03-27 14:42:00,186.8,186.8,186.8,186.8,8,3
54,2020-03-27 14:44:00,186.8,186.8,176.35,176.35,3,4
55,2020-03-27 14:49:00,176.35,186.85,175.35,182.0,6,8
56,2020-03-27 14:59:00,182.0,185.35,182.0,185.35,1,8
57,2020-03-30 09:01:00,167.85,185.45,167.85,171.1,5,16
58,2020-03-30 09:03:00,183.95,183.95,183.95,183.95,1,15
59,2020-03-30 09:04:00,183.95,183.95,183.95,183.95,1,15
60,2020-03-30 09:05:00,183.95,184.0,183.95,184.0,2,17
61,2020-03-30 09:07:00,184.0,184.0,184.0,184.0,1,16
62,2020-03-30 09:17:00,184.0,184.0,184.0,184.0,1,17
63,2020-03-30 09:19:00,178.95,178.95,178.95,178.95,1,18
64,2020-03-30 09:21:00,180.05,180.05,180.05,180.05,1,19
65,2020-03-30 10:04:00,180.1,180.1,180.1,180.1,1,20
66,2020-03-30 10:33:00,181.1,181.1,181.1,181.1,1,21
67,2020-03-30 14:40:00,185.45,185.45,185.45,185.45,1,21
68,2020-03-30 14:58:00,185.45,185.45,185.45,185.45,1,21
69,2020-03-31 09:01:00,191.85,191.85,191.85,191.85,14,8
70,2020-03-31 09:02:00,191.85,191.85,177.45,191.8,2,8
71,2020-03-31 09:03:00,191.8,192.0,182.15,192.0,2,8
72,2020-03-31 09:04:00,192.0,192.0,192.0,192.0,1,7
73,2020-03-31 09:06:00,192.0,192.0,186.7,192.0,3,8
74,2020-03-31 09:07:00,192.0,192.0,192.0,192.0,1,7
75,2020-03-31 09:10:00,192.0,192.0,192.0,192.0,1,6
76,2020-03-31 09:19:00,192.0,192.0,184.75,184.75,1,7
77,2020-03-31 09:20:00,184.75,187.7,184.75,187.7,1,8
78,2020-03-31 09:21:00,187.7,192.1,187.7,192.1,1,9
79,2020-03-31 09:22:00,192.1,192.1,192.1,192.1,1,9
80,2020-03-31 09:27:00,192.1,192.1,192.1,192.1,1,9
81,2020-03-31 09:42:00,192.1,192.1,192.1,192.1,1,9
82,2020-03-31 09:48:00,192.1,192.1,192.1,192.1,1,8
83,2020-03-31 10:50:00,192.1,192.1,192.1,192.1,1,8
84,2020-03-31 10:58:00,192.1,192.1,192.1,192.1,1,8
85,2020-03-31 11:00:00,192.1,192.1,192.1,192.1,1,8
86,2020-03-31 11:17:00,192.1,192.1,192.1,192.1,1,8
87,2020-03-31 11:18:00,192.1,192.1,192.1,192.1,1,7
88,2020-03-31 11:19:00,188.9,188.9,188.9,188.9,2,8
89,2020-03-31 11:20:00,188.9,191.95,187.95,187.95,4,11
90,2020-03-31 13:35:00,192.1,192.1,192.1,192.1,1,11
91,2020-03-31 13:41:00,192.1,192.1,192.1,192.1,2,11
92,2020-03-31 13:45:00,192.1,192.1,192.1,192.1,1,11
93,2020-03-31 14:00:00,192.1,192.1,192.1,192.1,1,12
94,2020-03-31 14:01:00,192.1,192.1,192.1,192.1,2,14
